Pos,Name,kraj,czas_netto
355,"SONNEK Zenon [4323]
Kb Lupus",Syców,01:59:34
356,CZUBAŁA Maciej [4337],Katowice,01:59:35
357,POPIOŁEK Elżbieta [4469],Warszawa,01:59:43
358,"SMEJA Marcin [4364]
Rowerowa Brzoza",,02:00:24
359,"GLIŃSKI Michał [4114]
Have A Nice Day",Gliwice,02:01:02
360,"KOZIURA Iwona [4541]
Szalona Paka Z Chaty Robaka",Poznań,02:01:18
361,"OLEJNIK Anna [4556]
Strefasportu.pl",Dobrzeń Wielki,02:01:23
362,"PRYMAKOWSKA Barbara [4356]
Kraków Ski",Tarnów,02:02:02
363,STANISLOVAS Bagvilas [4448],Vilnius,02:02:03
364,"BIEŃ Jacek [4383]
 ",Swarzędz,02:02:31
365,"MAJOR Stefan [4329]
Ambitni Amatorzy",Żarki,02:02:48
366,"SZYMAŃSKI Przemysław [4308]
Alle Jazda",Żmigród,02:02:49
367,"STANULA Witold [4372]
Ustrońska Szkoła Narciarstwa Biegowego",Oświęcim,02:03:14
368,"FARSKY Štefan [4223]
Dom Srdca N.o. Martin",Vrútky,02:03:27
369,"SZCZOTKA Paweł [4291]
Energetycy Turowa",Bogatynia,02:03:55
370,"KOBYLIŃSKI Tomasz [4393]
Wkb Meta Lubliniec",Zabrze,02:04:37
371,"WALCZAK Leszek [4314]
Maraton Leszno",Leszno,02:04:56
372,"FIGIEL Barbara [4333]
Niezrzeszony",Wałbrzych,02:05:08
373,KOWALSKI Michał [4532],Wilczyn,02:05:25
374,"LITWIN Sławomir [4320]
Gonie Psonie",Sosnowiec,02:06:09
Odśwież,,,
375,"KRĘT Michał [4324]
Zabiegani Częstochowa",Częstochowa,02:06:42
376,"SZMYTKIEWICZ Jan [4332]
Lubuszanie73",Zielona Góra,02:07:09
377,"MROŻEK Ewa [4335]
Hydrostacja.pl",Chwaszczyno,02:07:24
378,"KIELCZYK Krzysztof [4477]
Ursynów Pl",Warszawa,02:07:37
379,"PRUGAR Jarosław [4157]
Alle Jazda",Nadarzyn,02:07:59
380,"SOBIEGRAJ Jerzy [4342]
Kb Im. Macieja Frankiewicza - Poznań",Poznań,02:08:23
381,BALLENDAT Thomas [4188],Hennigsdorf,02:08:27
382,BARAŃSKI Szczepan [4471],Warszawa,02:08:41
383,"SALONI-SADOWSKA Maria [4353]
Sn Klasyk",Warszawa,02:09:19
384,LIŚKIEWICZ Maciej [4139],Warszawa,02:09:31
385,"URNER Doris [4474]
Alpinclub Berlin",Berlin,02:09:33
386,PYZIK Anna [4378],Mysłakowice,02:09:57
387,KARZEL Tadeusz [4443],Trzyniec,02:10:08
388,"WÓJCIK Adrian [4311]
Insan-projekt Wójcik Żory",Żory,02:10:54
389,"BERESOVA Marcela [4299]
Brasko Team",Bratislava,02:11:49
390,DONK Tineke [4567],Bernheze,02:11:59
391,"DAWIDZIAK Jarosław [4341]
Maraton Leszno",Leszno,02:12:00
392,"BERESOVA Klara [4366]
Brasko Team",Bratislava,02:12:12
393,SZYBA Tomasz [4475],Siedlce,02:12:27
394,INGLOT Jacek [4437],Jawor,02:12:43
395,"PIEPRZYCKI Jerzy [4339]
Akn Ratrak Częstochowa",Częstochowa,02:13:23
396,"JELEŃSKI Stanisław [4344]
Jelonki",Jelenia Góra,02:14:41
397,"KOWALSKI Edward [4330]
Niepołomice Biegają",Kraków,02:14:50
398,KOSIOROWSKI Leszek [4336],Jelenia Góra,02:14:55
399,"MIARA Bartosz [4340]
Funduszenamiare.pl",Bolescin,02:15:04
Odśwież,,,
400,JAŚKÓW Marcin [4533],Wrocław,02:15:41
401,ZBIERAŃSKI Andrzej [4166],Częstochowa,02:18:06
402,"KORALEWSKI Eugeniusz [4156]
Team Kargowa",Wolsztyn,02:18:57
403,"PILECKI Kazimierz [4345]
Elaktywni",Elbląg,02:19:59
404,DUTKIEWICZ Krzysztof [4404],Żarów,02:20:58
405,"TYBORSKA Weronika [4346]
Wekart",Wałbrzych,02:20:58
406,"TYBORSKI Artur [4347]
Wekart",Walbrzych,02:21:02
407,"SORÓWKA Hanna [4502]
Skw",Jelenia Góra,02:21:18
408,KŁOSOWSKI Sławomir [4444],Głogów,02:22:02
409,CISZYŃSKA Ada [4348],Kudowa Zdrój,02:22:32
410,"TWARDZISZEWSKI Ryszard [4450]
Energetycy Mew",Jelenia Góra,02:22:50
411,"FLOREK Franciszek Wieslaw [4343]
Stowarzyszenie Sportowe Sokół Tarnów",Tarnów,02:23:01
412,"SANDER Sabine [4481]
Alpinclub Berlin",Berlin,02:23:39
413,PIEŚCIŃSKI Łukasz [4524],Lubin,02:23:46
414,"KARWOWSKI Jerzy [4354]
Amator",Szczecinek,02:23:46
415,SANETRA Walerian [4355],Warszawa,02:23:57
416,"BOGDAŁ Marek [4295]
Energetycy Turowa",Bogatynia,02:24:06
417,PAWEŁ Winczaszek [4552],Pustków Żurawski,02:24:28
418,PASTUSIŃSKI Robert [4555],Wrocław,02:27:18
419,"LEMPACH Marek [4369]
Nordis Wrocław Team",Wrocław,02:29:45
420,KRZYSIAK Grzegorz [4484],Katowice,02:31:15
421,PIONK Andrzej [4497],Warszawa,02:31:31
422,GRZESZCZAK Bogusław [4357],Otwock,02:31:59
423,WIEZOREK Klaus-dieter [4423],Ulmdonau,02:33:34
424,"POCZMAN Agata [4454]
Tn Biegówki",Warszawa,02:34:16
Odśwież,,,
425,"JAGIELSKI Janusz [4385]
Amator",Warszawa,02:35:12
426,"BRAŚ Paweł [4480]
Brasie",Kraków,02:35:17
427,"KARPIŃSKI Zdzisław [4351]
Kraków Ski",Kraków,02:35:37
428,TISCHHAUSER Katalin [4432],Purley,02:35:42
429,"DRESLEWSKI Piotr [4154]
Ghost-riders",Łódż,02:35:44
430,LARSSON Hannes [4165],Valence,02:36:04
431,PIWOWARCZYK Andrzej [4519],Kraków,02:37:15
432,GREGORIC Peter [4186],Polsnik,02:37:40
433,"PLUTA Agnieszka [4412]
Energetycy Turowa",Bogatynia,02:37:51
434,RAGIEL Tomasz [4460],Złocieniec,02:38:20
435,WANTULOK Pavel [4438],Cesky Tesin,02:39:05
436,"POKORA Roman [4415]
Uks Flisak Ulanów",Ulanów,02:39:05
437,"PATER Sylwester [4501]
Skw",Jelenia Góra,02:40:05
438,"SPYCHALSKA Urszula [4425]
Ks``spych``przystań",Nowa Wieś Zachodnia,02:42:11
439,BUCZYŃSKI Michał [4441],Zagnańsk,02:43:09
440,"SZCZYGIEŁ Marian [4350]
Amator",Kraków,02:43:32
441,WOJNARSKI Eugeniusz [4522],Wrocław,02:44:00
442,KUSCHE Gerd [4398],Cottbus - Germany,02:46:54
443,CHROBAK Marcin [4549],Katowice,02:47:35
444,"PLUTA Zygmunt [4413]
Energetycy Turowa",Bogatynia,02:47:43
445,SZYKOWNY Krysztof [4406],Żarów,02:49:00
446,KARZELOVA Lenka [4442],Trzyniec,02:49:38
447,STOLARZ Paweł [4518],Warszawa,02:50:30
448,"KŁODOWSKI Tadeusz [4391]
Team Kruk",Wrocław,02:50:55
449,STARCZEWSKI Paweł [4428],Pruszków,02:54:16
Odśwież,,,
450,KAMIŃSKI Tomasz [4569],Gdynia,02:57:30
451,ŁAPA Marek [4500],Myślenice,02:57:41
452,"GAJOWSKA Wioletta [4359]
Drużyna Kowary-trzcianka",Kowary,02:57:59
453,GRANOWSKI Jerzy [4449],Jeżów Sudecki,02:59:47
454,DEPERAS Wojciech [4492],Żarów,02:59:52
455,"SKIBA Tomasz [4505]
Uks Flisak Ulanów",Ulanów,03:00:48
456,DR. HARTIG Walter [4568],Trachenberg,03:01:20
457,GIL Mirosław [4384],Nowa Ruda,03:02:21
458,MORYL Bolesław [4491],Jaworzyna Śląska,03:04:23
459,KOSELSKI Krzysztof [6666],,03:04:23
460,BARAN Krzysztof [4542],Złocieniec,03:06:04
461,ŻĄDŁO Dariusz [4370],Myślenice,03:06:07
462,PRZYBYLSKI Jan [4403],Żarów,03:06:53
463,MORYL Mikołaj [4516],Żarów,03:07:32
464,"WESOŁOWSKI Wojciech [4377]
Klub Narciarstwa Biegowego Szczecin Ski",Szczecin,03:07:33
465,BIAŁY Adam [4577],Zawiercie,03:11:13
466,MORYL Mateusz [4402],Zielona Góra,03:15:54
467,PIECHOWIAK Piotr [4427],Gorzyce Wielkie,03:17:33
468,KULESZ Ryszard [4494],Mikoszowa,03:18:38
469,JAŁÓWKO Magdalena [4400],Zagrodno,03:27:01
470,JAŁÓWKO Bolesław [4375],Lwówek Śląski,03:29:58
471,GRACZ Bogusław [4032],Kraków,DNF / 47
472,"BIGOSZEWSKI Tomasz [4084]
Nowy Targ Runners",Nowy Targ,DNF / 47
473,GABLANKOWSKI Piotr [4485],Myślenice,DNF / 47
474,"WALICKI Rafał [4021]
17 Wbz Międzyrzecz",Lubniewice,DNS / 47
Odśwież,,,
475,"MACHACEK Karel [4025]
Rockplast",Rovensko 275,DNS / 47
476,"ZAMBROŃ Krzysztof [4047]
Parafia Kosiska",Jelenia Góra,DNS / 47
477,"FRANO Michal [4049]
Race Space",Prague,DNS / 47
478,"ROGALA Dariusz [4068]
Skipol Team - Łowcy Przygód Gołdap",Gołdap,DNS / 47
479,"KISZKA Przemyslaw [4134]
 catch Me If You Can",Janów Lubelski,DNS / 47
480,"PTAK Paweł [4143]
Akn Ratrak Częstochowa",Częstochowa,DNS / 48
481,"DAWCZYK Grzegorz [4145]
Mf Żary",Żary,DNS / 48
482,SZMYT Dariusz [4159],Dąbrówka,DNS / 48
483,"KUSKOWSKI Marek [4161]
Skipol.plteamlabosport",Gołdap,DNS / 48
484,SYNOVEC Jindrich [4179],Tanvald,DNS / 48
485,DŁUGOPOLSKA Katarzyna [4192],Kościelisko,DNS / 48
486,PREUSSLER Ralph [4233],Hermsdorf,DNS / 48
487,"POUX Jean [4240]
Chapelle Des Bois",25240,DNS / 48
488,"SCHIRRMEISTER Uwe [4245]
Skiklub Okerharz",Bad Harzburg,DNS / 48
489,"NOVOTNY Václav [4256]
Silvini Madshus Team",Liberec,DNS / 48
490,"KRATKY Pavel [4302]
Jablonec Nad Nisou",Jablonec Nad Nisou,DNS / 49
491,"KUCZYŃSKA Magdalena [4328]
Pyry Na Biegówkach",Poznzń,DNS / 49
492,"DOMAŃSKI Jacek Expedyt [4358]
Wkb Meta Lubliniec",Warszawa,DNS / 49
493,RAUTIAINEN Veli [4363],Pori,DNS / 49
494,SERAFIN Janusz [4365],Katowice,DNS / 49
495,"GWIZDALSKI Przemysław [4381]
 monkey`s Grip",Oława,DNS / 49
496,KULESZA Bartłomiej [4386],Cieszyn,DNS / 49
497,"KUJAWSKA Joanna [4387]
Team Nabiegowkach.pl",Warszawa,DNS / 49
498,"ZABORONEK Maciej [4388]
Batorego Ludwikowice",Świebodzice,DNS / 49
499,SZYMANIAK Leszek [4390],Nowa Ruda,DNS / 49
Odśwież,,,
500,DUTKIEWICZ Wojciech [4405],Jaworzyna Śląska,DNS / 50
501,SIRANT Hanna [4409],Zagań,DNS / 50
502,SIRANT Mieczysław [4410],Żagań,DNS / 50
503,"MOSIŃSKI Grzegorz [4411]
Energetycy Turowa",Bogatynia,DNS / 50
504,"TRZASKOWSKA Aleksandra [4416]
Sn Klasyk",Warszawa,DNS / 50
505,"ADAMIEC Norbert [4417]
Intec Projekt Team",Dąbrowa Tarnowska,DNS / 50
506,"SKROBISZEWSKI Mariusz [4419]
Klub Lechia Piechowice",Piechowice,DNS / 50
507,"MARKLUND Anton [4420]
 ",,DNS / 50
508,"SZADORSKA Agnieszka [4434]
Wisła Ustronianka",Łaziska Gorne,DNS / 50
509,KRAKIEWICZ Adam [4435],Spalona 3,DNS / 50
510,KMIECIK Grzegorz [4436],Spalona,DNS / 51
511,"BOMBA Zygmunt [4458]
Ktn Psie Pole",Zloty Stok,DNS / 51
512,"KOCOŃ Iwona [4489]
Pierdzące Zające",Ujsoły,DNS / 51
513,DEPERAS Marcin [4493],Żarów,DNS / 51
514,"KARANDZIEJ Cezary [4503]
Tn Biegówki",Brwinów,DNS / 51
515,HUOTARI Matti [4511],Sodankyla,DNS / 51
516,"LISOWSKI Jerzy [4512]
Niezrzeszony",Wodzisław Śląski,DNS / 51
517,"KOCEMBA Askaniusz [4526]
Alaska",Lubawka,DNS / 51
