Pos,Name,kraj,czas_netto
77,"KORZAN Marek [4113]
Ustrońska Szkoła Narciarstwa Biegowego",Jaworze,01:28:43
78,"KRYGIER Mariusz [4030]
Ipa Gołdap",Dubeninki,01:28:45
79,WERDA Stanisław [4053],Jelenia Góra,01:29:00
80,"PRUD Andrzej [4057]
Gdańsk",Gdansk,01:29:01
81,PALIŃSKI Piotr [4297],Szklarska Poręba,01:29:14
82,MULLER Gerold [4146],Spitzkunnersdorf,01:29:26
83,IGNACZAK Rafał [4227],Jelenia Góra,01:29:27
84,"ZELENKA Tomáš [4041]
Roprachtice",Semily,01:29:28
85,ANTSIKHOVICH Siarhei [4260],Lepel,01:29:28
86,CHITNEV Andrey [4236],Moscow,01:29:35
87,"WEISS Thomas [4207]
Wsv Ilmenau",Ilmenau,01:29:43
88,"KUBICEK Zdenek [4040]
Ok Mnichovo Hradiste",Mnichovo Hradiste,01:29:44
89,NADACHOWSKI Artur [4082],Zacharzew,01:29:45
90,"MROŻEK Damian [4043]
Hydrostacja.pl",Chwaszczyno,01:30:00
91,"MĄCZYŃSKI Czesław [4059]
Mcbike",Plock,01:30:08
92,BUDZIŃSKI Paweł [4039],Wrocław,01:30:29
93,STINGHL Marcin [4578],,01:30:41
94,MIROSŁAW Rafał [4048],Wojciechów,01:30:44
95,"PODKAŃSKI Bartosz [4599]
Gopr Karkonosze",,01:31:06
96,"BANACKI Sławomir [4221]
Akademia Triathlonu Labosport",Warszawa,01:31:08
97,"KORZENIOWSKI Aleksander [4490]
Team Nabiegowkach.pl",Łódź,01:31:11
98,"KOKKO Juha [4462]
Tampere",Akaa,01:31:17
99,KOTLARZ Pawel [4080],Warszawa,01:31:20
Odśwież,,,
100,"ROMANOWICZ Robert [4062]
Team Nabiegowkach.pl",Białystok,01:31:24
101,"JĘDRZEJEWSKI Paweł [4063]
Fun Wind",Łomianki,01:31:25
102,"WINCZURA Krzysztof [4067]
Sokół Tarnów",Tarnów,01:31:32
103,"FISCHER Steffen [4212]
Esv Nassau",Nassau,01:31:33
104,"SEEMAN Tomáš [4197]
Klub K2",Praha,01:31:37
105,"KRAUSOVA Darina [4222]
Cykloklub Nový Jičín",Nový Jičín,01:31:42
106,"DZIEDZICKI Andrzej [4061]
Ipa Bieszczady",Przemyśl,01:31:44
107,SPYCHALSKI Waldemar [4083],Nowa Wieś Zachodnia,01:31:49
108,"MEISSNER Janusz [4101]
Cartusia",Kartuzy,01:31:49
109,"WOLNY Paweł [4086]
Olimpijczyk Nowe Chechło",Nakło Śl,01:31:59
110,"SKALICKI Michael [4523]
Ks Pardubice",Hradec Kralove,01:32:03
111,SINKIEWICZ Mariusz [4064],Boguszów Gorce,01:32:15
112,"DANECKOVA Romana [4557]
Ski Morawski Berouw",Krnov,01:32:15
113,"GRZEJDZIAK Jarosław [4075]
Lks Atom Boxmet Dzierżoniów",Nowizna,01:32:16
114,MAJKA Roman [4070],Duszniki Zdrój,01:32:17
115,JASKÓŁOWSKI Damian [4056],Kraków,01:32:26
116,"FRACZEK Natalia [4152]
Enervit Yoko Team",Swiebodzice,01:32:27
117,"MAIER Siegfried [4429]
Bbrz",Linz,01:32:33
118,"TARASEWICZ Piotr [4600]
Enervit Team",,01:32:51
119,"POŚNIK Szymon [4052]
Azs-awf Warszawa - Wioślarstwo",Warszawa,01:32:56
120,THIBAULT Henri [4252],St Alban Leysse,01:32:58
121,PIECH Martyna [4180],Brójce,01:32:58
122,YVON Vincent [4237],Le Bourget Du Lac,01:33:00
123,"GÓRA Ireneusz [4141]
Mluks `postomia` Sulęcin-kołczyn",Sulęcin,01:33:05
124,"GAŁEK Anna [4174]
Biegówki.eu",Lubawka,01:33:07
Odśwież,,,
125,"MOŹDZIERZ Paweł [4060]
Sokół Tarnów",Tarnów,01:33:17
126,"EDLUND Per [4396]
Stöcke Ts Järnet",UmeÅ,01:33:22
127,"DRAHOSLAV Kobr [4218]
Drak Zolboch",Rokytnice,01:33:24
128,"BARCZ Sylwan [4208]
Bike Team Chojna",Chojna,01:33:32
129,"MEHNERT Christoph [4093]
Bautzener Lv `rot-weiß 90`",Bautzen,01:33:33
130,"KUR Michał [4514]
Dziki Pazur",Jelenia Góra,01:33:41
131,"PATERAK Jan [4307]
Lks Bryksjusz Gościęcin",Gościęcin,01:33:43
132,DROP Krzysztof [4103],Zielona Góra,01:33:46
133,"KOBRYŃ Jan [4562]
Tn Biegówki",Bystrzyca Kłodzka,01:34:08
