Nr,imię nazwisko,imię nazwisko2,kat,kat-mce,team,czas_netto
150,Adamska Joanna,Czubak Dariusz,MIX,18),DJ_LODZ,13:04:32
201,Międzik Tomasz,Klich Marcin,MM,224),MAD DOGS,13:04:35
311,Kita Magdalena,Kita Bartosz,MIX,19),Kitki Team,13:04:36
290,Kuźma Karol,Powałka Michał,MM,225),Yulo Run Team Siedlce II,13:05:39
494,Weinberg Kamil,Łaski Krzysztof,MM,226),Biegiem po Piwo 2,13:06:46
364,Kasprzak Artur,Kaczorowski Przemysław,MM,227),RUN EXPERT TEAM,13:06:47
125,Bobek Aleksandra,Iłczyk Rafał,MIX,20),Zielona Rozpacz,13:07:21
84,Woźniak Marcin,Biernacki Jakub,MM,228),Osowa Team,13:08:15
477,Ziętek Ireneusz,Ziętek Marcin,MM,229),,13:08:58
573,Sopel Arkadiusz,Klimczak Piotr,MM,230),Gladiatus,13:09:00
366,Łojko Michał,Zaleski Andrzej,MM,231),Fizjoterapia Running Team,13:12:45
161,Bujalski Szymon,Krause Jakub,MM,232),Kuba i Szymon,13:14:04
164,Makowski Jan,Detko Kuba,MM,233),Bycze Chlopaki,13:15:28
454,Nizioł Marian,Fiega Ryszard,MM,234),Piagor 2014,13:16:12
307,Sikorski Jacek,Rzywucki Wojciech,MM,235),RUNNERSCLUB.PL,13:16:42
517,Sołoducha Hubert,Daniel Urbański,MM,236),2 KSZ 6 BPD,13:16:43
212,Miedziejewski Andrzej,Pietrzak Daniel,MM,237),AnDan Team,13:17:15
576,Wyczawski Tomasz,Kłosowski Wojciech,MM,238),JW 2414 PUŁK OCHRONY,13:17:16
253,Kozłowska Marta,Świerczek Grzegorz,MIX,21),Drużyna MAGR,13:17:42
634,Handzel Wioletta,Dragon Przemysław,MIX,22),Byle dobiec :),13:17:43
242,Bobecki Patryk,Duda Marcin,MM,239),31 Baza Lotnictwa Taktycznego,13:18:19
461,Niedźwiecki Marek,Filas Witold,MM,240),Ski Park Wysowa,13:19:21
228,Staniak Mateusz,Dziama Grzegoż,MM,241),Trole,13:19:24
260,Wichniewicz Czarek,Kwietniewski Mariusz,MM,242),KK,13:19:26
563,Maćkowski Jędrzej,Bebelski Rafał,MM,243),ANALOGOWI,13:19:46
549,Kamer Joanna,Skwarło Marek,MIX,23),Siostra i Brat OFM Cap.,13:20:41
195,Jarczyński Michał,Stańczak Maciej,MM,244),POROBIENI,13:20:45
51,Jackowiak Michał,Bruź Filip,MM,245),BULL RACING TEAM 1,13:22:33
631,Krzysztof Sowiński,Nowak Robert,MM,246),Team Kaczka,13:23:03
426,Kołdys Łukasz,Makowska Olga,MIX,24),Tiberias Team,13:23:21
221,Żychliński Miłosz,Wypych Arkadiusz,MM,247),ArMi Team,13:24:03
393,Bednarz Bogdan,Ząbek Paweł,MM,248),Żywcam Zabiegani,13:26:08
134,Jodko-Narkiewicz Adam,Jarosik Daniel,MM,249),Team ASA – Biegiem po Zdrowie - Gdynia,13:26:16
74,Cioch Pawel,Mrugała Monika,MIX,25),PLOTSERWIS TEAM,13:26:23
328,Pach Maciej,Grendziński Andrzej,MM,250),N.A.G. Team,13:26:26
568,Nasiadka Piotr,Dudek Bartłomiej,MM,251),Szpinakowe Konwulsje,13:26:28
415,Podolak Zbigniew,Cupak Tomasz,MM,252),Przed zawałem,13:26:37
12,Tracz Jakub,Zieliński Bartłomiej,MM,253),OKOŁO SIEDEMNASTU BRACI BLIŹNIAKÓW,13:26:59
527,Mrowiec Michal,Novikov Vitaliy,MM,254),Power Rade Team,13:27:55
249,Waleczek Sławomir,Kotowski Andrzej,MM,255),Hedoniści,13:28:11
389,Orłowski Przemysław,Szerling Michał,MM,256),trifit.pl,13:28:56
202,Kotarba Paweł,Czerwiński Zbigniew,MM,257),North Busters,13:29:14
301,Byrtek Marcin,Kwaśniewski Hubert,MM,258),Siła Ogra,13:29:39
410,Nabożna Ewelina,Mikołajczyk Henryk,MIX,26),Brygada RR,13:29:52
175,Reaud Julien,Kufera Dariusz,MM,259),FRAPOL Razem!,13:30:18
495,Niemiro Paweł,Niemiro Dominika,MIX,27),Jagodowo-Kalinowy TEAM,13:31:53
124,Kocjan Paweł,Plackowski Mikołaj,MM,260),Fabryka Formy / Night Runners,13:31:55
45,Łabedzki Andrzej,Weissensteiner Dawid,MM,261),łabędź team,13:32:27
104,Kornak Dariusz,Fedak Jarosław,MM,262),Blue eyes,13:33:10
353,Trojnar Damian,Tutka Maksymilian,MM,263),Team Leżajsk - Dębno,13:33:14
377,Ulbrich Paweł,Wiater Tomasz,MM,264),Chachary ze Starego,13:33:33
412,Krystian Mieszkian,Stefański Krystian,MM,265),Hanys i Gorol,13:33:36
291,Stawski Dariusz,Czaja Dariusz,MM,266),DWADARKI,13:34:16
489,Piechota Krzysztof,Kaczmarek Piotr,MM,267),"SZWLA Stargard , RUNNERSGO TEAM",13:34:19
349,Wojciechowski Wojciech,Odomirska Katarzyna,MIX,28),Loża Szyderców,13:34:28
154,Hernik Dariusz,Rudnicki Artur,MM,268),Biegiem Radom,13:34:30
559,Spyra Mariusz,Cisek Agnieszka,MIX,29),Visum Clinic Team,13:34:42
155,Świątek Dorota,Bień Magdalena,KK,6),HARD GIRLS powered by sklepbiegowy.com,13:34:52
158,Krzysztoń Grzegorz,Krzysztoń Piotr,MM,269),GMP LASY-KRAŚNIK,13:35:22
459,Wolnik Emilia,Walczak Maciej,MIX,30),KB Maniac Poznań & Quay,13:36:25
501,Pruta Rafał,Drabik Krzysztof,MM,270),FC po 40-ce,13:37:46
230,Kobos Marcin,Czerwiński Łukasz,MM,271),WUEF Club: POZIOM WYŻEJ,13:37:57
493,Krypa Jan,Marciniak Janusz,MM,272),Starsi Panowie Dwaj JJ,13:38:41
96,Nos Łukasz,Smętek Wojtek,MM,273),3 X TEAM,13:38:49
395,Gorgoń Piotr,Łożyński Radek,MM,274),4RUN TEAM PILA,13:39:27
399,Tulik Piotr,Tulik Paweł,MM,275),P&P Legion Warszawa,13:39:39
384,Połczyński Paweł,Połczyński Maciej,MM,276),Stalowa Łyda,13:39:56
326,Bukalski Zbigniew,Nagierski Łukasz,MM,277),Dreptacze z Lubonia,13:40:19
14,Krauze Tomasz,Komór Wiesław,MM,278),GB Wrocławskie Morsy,13:40:34
567,Glaonwski Marek,Kolasa Arkadiusz,MM,279),Sky Team - SPA Medical Dwór Elizy,13:40:58
286,Brzeziński Wojciech,Hojan Łukasz,MM,280),Dziki Luk,13:40:58
347,Lipowicz Łukasz,Skoczyński Tomasz,MM,281),Tenis w Porcie,13:41:45
373,Zając Jacek,Chmiel Dariusz,MM,282),Katolicki Patriotyczny Ruch Narodowy Kraśnik,13:41:48
466,Wieczorek Mariusz,Kołacz Wojciech,MM,283),Spóźnieni na starcie,13:42:29
313,Lemieszek Grzegorz,Kaczmarek Robert,MM,284),ŁÓDŹ RUNNING TEAM,13:42:31
603,Wołoch Michał,Zygmunt Marcin,MM,285),Saperzy beta,13:42:46
331,Obidowski Łukasz,Skałecki Przemysław,MM,286),Rycerze Okrągłego Stołu,13:42:51
594,Gaik Bartłomiej,Gaik Maciej,MM,287),BIEGNIJ BRACIE,13:43:30
496,Majewski Piotr,Wiącek Marcin,MM,288),Melex- JSC Jasło,13:44:10
106,Gumiński Marek,Skokowski Tomasz,MM,289),Wolne Konopie,13:44:19
103,Sakowska Aneta,Wieruszewska Agata,KK,7),AA,13:45:02
170,Winczura Leszek,Machalinski Mariusz,MM,290),Gdanska 40-stka,13:45:11
241,Szpyrka Mariusz,Pokorniecki Tomasz,MM,291),poznań-toruń,13:45:13
246,Milka Grzegorz,Sladek Krzysztof,MM,292),Drużyna Enigma,13:46:15
275,Łabęcki Jarek,Wiese Zdzisław,MM,293),Stare Konie Maniaca,13:47:35
77,Stachowicz Marcin,Kogut Rafał,MM,294),wybiegani.pl,13:49:33
515,Koziołko Tomasz,Bogaczyk Krzysztof,MM,295),K&T Renegaci,13:49:35
222,Roczkowski Artur,Chrapkiewicz Michał,MM,296),SBD Energetyk Rybnik,13:50:03
597,Pachoński Marcin,Kuzioła Krzysztof,MM,297),CSRG Bytom I,13:50:10
625,Matuszewski Michał,Nowakowski Tomasz,MM,298),LUZUJ SZORTY,13:50:39
166,Szczepanik Tomasz,Kucharski Damian,MM,299),Zabiegani Częstochowa,13:51:27
529,Rzeszótko Marzena,Rzeszótko Leszek,MIX,31),ZGÓRMYSYNY,13:51:32
534,Ślączka Arkadiusz,Wiernusz Krzysztof,MM,300),Posada Krosno,13:51:38
123,Gawlik Piotr,Dziuma Arkadiusz,MM,301),Dirty Dogs 3 City,13:51:46
492,Krawczyk Kamil,Żmuda Michał,MM,302),Madaliniacy,13:51:58
257,Woźniak Ryszard,Morawska Anna,MIX,32),ryś i łania,13:52:24
163,Jóźwiak Magdalena,Hetmański Tomasz,MIX,33),TMD RUN LESZNO,13:52:25
429,Gawęski Maciej,Cebula Leszek,MM,303),KReatory,13:52:30
178,Wiśniewski Artur,Bondarczuk Igor,MM,304),INTRO,13:53:45
55,Żmuda Jakub,Łukaszuk Krzysztof,MM,305),BULL RACING TEAM 4,13:54:06
443,Łopatkiewicz Beata,Michalec Marcin,MIX,34),Betka & Maniu,13:55:07
56,Starczewski Jarosław,Jaskuła Paweł,MM,306),RUN FORREST,13:55:19
118,Sołtys Łukasz,Kośniewska Weronika,MIX,35),obozybiegowe.pl,13:55:47
63,Mostowska Joanna,Kozanecka Joanna,KK,8),Dwie Aśki,13:56:35
156,Pawlak Michał,Jędraszek Alicja,MIX,36),Korona Pabianice,13:56:36
497,Papaciak Stanisław,Rak Łukasz,MM,307),40-letni nastolatkowie,13:57:12
420,Makowski Michał,Łuczak Aleksander,MM,308),Różowe Misie,13:59:07
491,Wójcik Julian,Rotter Daniel,MM,309),SZWLA Stargard,14:00:26
159,Klarecki Adrian,Król Maciej,MM,310),AstMa Team,14:00:42
133,Koszarek Andrzej,Koszarek Maciej,MM,311),Bano&Kloss,14:02:18
498,Araszkiewicz Anna,Montalva Enrique,MIX,37),Don Chichot z Komańczy,14:03:19
283,Rzeszuto Piotr,Pluta Michał,MM,312),XTrainer/Kameryakcji,14:03:30
442,Maciejewska-Błachewicz Joanna,Błachewicz Marcin,MIX,38),BLASZKI,14:04:57
487,Krajewski Artur,Duraj Grzegorz,MM,313),Ultraholic team,14:05:13
147,Paczesny Janusz,Michałowski Maciej,MM,314),Szybcy i Piękni,14:05:33
231,Dubowiecki Witek,Morawski Mariusz,MM,315),Drużyna Badiego,14:06:26
401,Kociołek Andrzej,Groń Adam,MM,316),AG-AK Team,14:07:14
216,Bartłomiej Jachymek,Arkadiusz Naskręt,MM,317),Pasterka Camp,14:09:05
418,Jankowski Łukasz,Cieślak Dominika,MIX,39),Wolf Team,14:09:59
419,Dyczkowski Andrzej,Kaseja Maciej,MM,318),KB Ergo,14:11:21
468,Kamiński Jerzy,Paprocki Wiesław,MM,319),Paka,14:12:12
486,Paradowski Piotr,Kmiecik Łukasz,MM,320),Załomianie,14:14:42
455,Basiński Hubert,Wojtkowiak Łukasz,MM,321),BiegaczAmator,14:14:49
289,Żochowski Piotr,Kiełbasa Dariusz,MM,322),Baster,14:14:50
408,Ertel Radosław,Szymański Henryk,MM,323),CZŁOBATNIK,14:15:10
89,Bilnik Monika,Madej Mirosław,MIX,40),tury z jury,14:15:32
542,Borsiak Krzysztof,Spychała Paweł,MM,324),Weterynarze,14:15:32
42,Faron Agnieszka,Faron Dawid,MIX,41),Norafsport,14:15:33
544,Bojko Filip,Strychalski Dariusz,MM,325),NAPIERAJ.PL,14:15:59
90,Jabłoński Maciej,Kamiński Artur,MM,326),Dla Iśki,14:16:16
308,Grygoruk Cezary,Nadrzycki Daniel,MM,327),Harty Szczecina,14:16:41
381,Fabiński Marcin,Zygmunt Marcin,MM,328),M&M Grudziądz,14:17:59
