Nr,imię nazwisko,imię nazwisko2,kat,kat-mce,team,czas_netto
372,Tittinger Tomasz,Stępień Maksymilian,MM,398),TEJPY.PL,15:06:22
210,Wernik Dariusz,Wernik Katarzyna,MIX,58),MalamuTeaM,15:06:48
417,Leoniak Grzegorz,Połóg Marek,MM,399),Lewy i Prawy,15:06:52
157,Magalski Piotr,Wałęka Jarosław,MM,400),Orange Polska 4,15:08:28
81,Jastrzębski Rafał,Kubacz Norbert,MM,401),Dwa Ciacha,15:08:59
75,Seremet Bożena,Skrzypek Sylwia,KK,13),Górale Jurajscy,15:09:30
409,Gezela Mariusz,Von Ossowska Aleksandra,MIX,59),TJ,15:10:03
344,Stachowski Andrzej,Baluta Paweł,MM,402),outdoor.org.pl,15:12:11
600,Margas Konrad,Czarnecki Paweł,MM,403),JRG 1 Radom Biegusiem,15:12:20
30,Ludkowska Urszula,Ludkowski Mariusz,MIX,60),Ludki,15:12:20
269,Stypa Jerzy,Janasik Leszek,MM,404),STO-nogi Milanówek,15:12:22
112,Myszka Radosław,Korzeniowski Mirosław,MM,405),nie biegaj,15:13:55
628,Chojecki Dariusz,Drozd Paweł,MM,406),KEREZA LUBLIN,15:15:02
304,Skrzypczak Rafał,Fiedler Tomasz,MM,407),PARZYSTOKOPYTNI,15:15:43
432,Kachniarz Mirosław,Świderski Mateusz,MM,408),BOLT / OSiR Trzemeszno - Ultra Team,15:15:58
298,Warawąsowski Daniel,Skiba Mirosław,MM,409),Prosiaczki,15:18:30
110,Biniewicz Sławomir,Stasiak Marcin,MM,410),BORUTA TEAM,15:18:41
387,Chudy Patryk,Pamuła Adam,MM,411),TEAM BANANOWCA,15:19:27
362,Błoch Marek,Szymański Kuba,MM,412),STARE WUJE,15:20:02
148,Widera Maciej,Stachura Magdalena,MIX,61),wodzionka,15:20:50
191,Zawiska Izabela,Dulska Zofia,KK,14),IZohipsy,15:20:57
404,Uliczny Adam,Palenga Artur,MM,413),PIKACZU&CZOS TEAM,15:22:47
392,Podsiadły Robert,Świątczak Mariusz,MM,414),Chaos Team,15:24:25
219,Kroczak Wojciech,Juraszek Mirosław,MM,415),fajka&miro,15:24:27
343,Czempas Artur,Supruniuk Krzysztof,MM,416),Jedz Budyń,15:26:41
215,Goszczyński Piotr,Chudziński Paweł,MM,417),ALFA TEAM,15:26:49
316,Magreta Natalia,Łupiński Dominik,MIX,62),MSTR,15:27:27
462,Palczyński Wojciech,Rychlikowski Paweł,MM,418),WojPaw,15:27:29
437,Ruszkowski Łukasz,Tosiek Sylwester,MM,419),Limber,15:27:48
528,Kurczyk Kamil,Kurek Łukasz,MM,420),2 ksz 6 BPD,15:28:24
450,Nowosielski Roman,Kostecki Tomasz,MM,421),Runners Gdynia,15:29:30
61,Wojdal Piotr,Lewiak Michał,MM,422),Pean Paszczą,15:30:07
350,Szymczyk Tomasz,Malicki Andrzej,MM,423),Biegoholicy cz.1,15:30:09
474,Janik Tomasz,Szulencka Aleksandra,MIX,63),Orange Polska 2 / TEAM ASA - BIEGIEM PO ZDROWIE Warszawa 2,15:30:10
177,Kluba Roksana,Góralczyk Andrzej,MIX,64),Dwójka bez sternika,15:30:14
279,Zieliński Sławomir,Pawkin Krzysztof,MM,424),PARA-NORMALNI TRUCHCIK,15:30:23
503,Mielec Daniel,Zielenkiewicz Kacper,MM,425),uslugialpinistyczne.pl,15:30:48
398,Woźniak Mariusz,Kasza Andrzej,MM,426),Speleoklub Świętokrzyski,15:31:17
538,Danielczuk Paweł,Danielczuk Dominik,MM,427),Kto pierwszy ten lepszy,15:31:32
235,Szabelak Witek,Maliszewska Marta,MIX,65),Ospałe Rysie,15:31:33
488,Pamula Agnieszka,Pamula Marek,MIX,66),No Pain No Gain,15:31:37
33,Kłos Dariusz,Czuba Adam,MM,428),Toruńskie Morsy,15:31:48
471,Medoń Adam,Seweryn Tomasz,MM,429),adam i tomek,15:31:49
525,Bednarczyk Zbigniew,Seide Sylwia,MIX,67),STR Poznań,15:32:48
365,Apanasiewicz Bartosz,Kulas Bartosz,MM,430),Bartek Team,15:33:09
117,Kańka Mirosław,Marczak Albert,MM,431),The DIWORCE Team,15:34:24
131,Turek Michał,Porada Jacek,MM,432),polasach.blogspot.com,15:34:25
152,Zieniewicz Marlena,Bielecki Tomasz,MIX,68),Drużyna z Kamienia,15:34:45
114,Kos Jacek,Kamiński Radosław,MM,433),ZST PRO,15:36:20
100,Giez Marcin,Szczepaniak Artur,MM,434),Sportgas PGNiGo!,15:36:31
197,Dąbrowski Marcin,Mazurek Waldemar,MM,435),Koshaolin Crew,15:36:37
266,Ignatowska Anna,Zaremba Janusz,MIX,69),Biegajnia Poznań,15:38:09
233,Kubacka Magdalena,Sitasz Michał,MIX,70),Trenerski Team,15:38:35
140,Głowacki Arek,Piczkowski Marcin,MM,436),AM Team,15:38:38
284,Makowska Anna,Warząchowski Andrzej,MIX,71),Zielone Gumisie,15:38:50
204,Pytkowski Marek,Stankiewicz Krzysztof,MM,437),Lechici,15:38:53
374,Słoniak Rafał,Balawejder Marcin,MM,438),TEJPY i KĄTY,15:39:20
122,Szulc-Łątkowska Urszula,Mikołajczak Aleksandra,KK,15),Matki Polki,15:43:32
345,Dobaj Katarzyna,Serwaczyński Mirosław,MIX,72),Spartanie Dzieciom 2,15:43:35
536,Poprawa Mariusz,Gruszecka Agnieszka,MIX,73),Zabiegani Lusówko,15:43:37
270,Kacejko Piotr,Wróbel Andrzej,MM,439),Politechnika Lubelska,15:43:43
91,Jurczak Wojciech,Jurczak Jan,MM,440),Łosie,15:44:45
585,Zielonka Mariusz,Krzyżański Stanisław,MM,441),CSWLąd I,15:46:31
251,Domian Marta,Urmanowski Daniel,MIX,74),Tłiksy,15:46:35
330,Piotr Kaczmarek,Flisikowski Bartłomiej,MM,442),Trójmiejskie Cieniasy,15:49:46
190,Szabunia Ariel,Gajda Sebastian,MM,443),Coco jumbo i do przodu,15:49:53
391,Funka Andrzej,Szkuta Michał,MM,444),CHYŻY,15:50:30
504,Niedźwiedzki Tomasz,Budasz Andrzej,MM,445),Team TABUN,15:51:06
83,Ludwinek-Zarzeka Iwona,Zarzeka Marcin,MIX,75),Vege Runners 01,15:51:24
141,Kuczyński Robert,Karnicki Zygmunt,MM,446),K-TEAM,15:51:39
533,Draim Jacek,Smolarek Tomasz,MM,447),Glenlivet,15:51:53
599,Bartecki Aleksander,Weisman Izabela,MIX,76),A2,15:52:24
481,Nartowski Jan,Wyrąbkiewicz Janusz,MM,448),"Apteka ""Mikstura"" Ciechocinek",15:55:19
268,Jędruszczak Marcin,Chrapczak Maciej,MM,449),jai kudo team,15:58:15
285,Imiłkowska Joanna,Kozłowska Alicja,KK,16),KB INTREX Poznań / Maraton Leszno,16:01:46
521,Mounier Anna,Mounier Frederic,MIX,77),mounier team,16:09:26
624,Wołoszyn Krystian,Kozaryn Radosław,MM,450),Doktorzy z rzeźni,16:11:20
95,Góźdź Wojtek,Góźdź-Morawska Małgosia,MIX,78),Mama i Tata,16:17:04
107,Herodecki Bartłomiej,Tomkowicz Rafał,MM,451),Sfera Biegania,16:18:28
407,Adamczyk Zbigniew,Deruś Stanisław,MM,452),Łubianka - taka gmina,16:19:59
475,Kaczmarek Robert,Świąder Mirosław,MM,453),Mirek&Robert,16:30:28
402,Wójtowicz Tomasz,,MM,),Jabol Punk,12:44:22
