team,miejscowosc,kraj,kat,czas_netto,"tempo min/km","tempo km/h"
SMASHING PĄPKINS,,POL,M40,07:24:55.45,8:33,7
,,POL,M20,07:25:40.20,8:34,7
KIELCE ,,POL,M50,07:25:33.50,8:34,7
BRZEG,,POL,M50,07:25:06.85,8:33,7
IZABELIN,,POL,M40,07:25:12.00,8:33,7
NORAFSPORT,,POL,M20,07:27:01.70,8:35,7
ORTOREH TEAM,,POL,M20,07:28:18.00,8:37,7
,,POL,K40,07:28:05.20,8:37,7
AKTYWNY DYNÓW,,POL,M40,07:28:41.45,8:37,7
ZAGÓRZ,,POL,M30,07:28:14.65,8:37,7
POZNAŃ,,POL,M20,07:28:40.30,8:37,7
AKTYWNY DYNÓW,,POL,M30,07:29:48.20,8:39,6.9
WARSZAWA,,POL,M20,07:29:52.40,8:39,6.9
SPORT=EVO GDAŃSK,,POL,M30,07:30:23.85,8:39,6.9
ZABORZE,,POL,M40,07:30:51.90,8:40,6.9
WARSZAWA,,POL,K40,07:30:49.90,8:40,6.9
WARSZAWA,,POL,M40,07:30:50.00,8:40,6.9
LUBLIN,,POL,M30,07:31:26.75,8:40,6.9
SPORT&FUTURE,,POL,M30,07:31:55.35,8:41,6.9
TARNÓW,,POL,M20,07:31:52.85,8:41,6.9
POSMAKUJ RUN TEAM,,POL,M40,07:33:13.85,8:42,6.9
MIŃSK MAZOWIECKI,,POL,M30,07:33:07.75,8:42,6.9
VC TEAM,,POL,M50,07:32:56.35,8:42,6.9
WĄGROWIEC,,POL,K40,07:33:19.10,8:43,6.9
LOKOMOTIW MAJDAN,,POL,M20,07:33:56.75,8:43,6.9
KRAKÓW,,POL,M50,07:34:53.10,8:44,6.9
KB GEOTERMIA UNIEJÓW,,POL,M40,07:35:19.05,8:45,6.9
BFAGENCJA.PL,,POL,M30,07:35:47.40,8:45,6.8
PAŁUKI RUNNING TEAM ŻNIN,,POL,M50,07:35:23.90,8:45,6.9
,,POL,M60,07:36:13.45,8:46,6.8
CHELM,,POL,M40,07:36:15.60,8:46,6.8
CZŁAPACZE,,POL,M50,07:35:55.45,8:46,6.8
SIEDLCE,,POL,M40,07:36:47.00,8:47,6.8
WODZISŁAW ŚLĄSKI,,POL,K40,07:37:19.55,8:47,6.8
WODZISŁAW ŚLĄSKI,,POL,M40,07:37:21.50,8:47,6.8
SPARTANIEDZIECIOM/DREAMRUN,,POL,M40,07:37:21.40,8:47,6.8
PRZEMYŚL,,POL,M50,07:38:58.50,8:49,6.8
ZĄBKI,,POL,M40,07:38:11.30,8:48,6.8
TARNÓW,,POL,M40,07:39:29.25,8:50,6.8
RZESZÓW,,POL,K30,07:39:32.05,8:50,6.8
MIKI TEAM,,POL,K30,07:39:29.15,8:50,6.8
ZABRZE,,POL,K30,07:40:12.95,8:51,6.8
AKADEMIA BIEGANIA GRUDZIĄDZ,,POL,M40,07:41:02.00,8:51,6.8
AKADEMIA BIEGANIA GRUDZIĄDZ,,POL,K50,07:41:02.85,8:51,6.8
KORNIK,,POL,M40,07:40:32.10,8:51,6.8
BYDGOSZCZ,,POL,M30,07:41:29.00,8:52,6.8
PSZCZYNA,,POL,M30,07:42:37.60,8:53,6.7
RYBNICKA GRUPA BIEGOWA PĘDZIMY RAZEM,,POL,M30,07:42:34.30,8:53,6.7
RYBNIK,,POL,M40,07:42:34.95,8:53,6.7
RUNSHOP.PL,,POL,M40,07:42:36.95,8:53,6.7
BOOT CAMP POLSKA ,,POL,K20,07:42:30.05,8:53,6.7
ACCENTURE,,POL,K30,07:42:42.85,8:53,6.7
TORTUGA ADVENTURE TEAM,,POL,M40,07:43:41.25,8:55,6.7
,,POL,K40,07:43:19.45,8:54,6.7
PIOTRKÓW TRYBUNALSKI,,POL,M30,07:43:38.25,8:54,6.7
ZAKOPANE,,POL,K30,07:44:00.35,8:55,6.7
ŁÓDŹ,,POL,M30,07:44:14.45,8:55,6.7
RZESZÓW,,POL,M40,07:44:34.55,8:56,6.7
12TRI.PL/WARSZAWA,,POL,K20,07:45:46.75,8:57,6.7
ŁÓDŹ,,POL,M20,07:45:46.85,8:57,6.7
PIASECZNO,,POL,K40,07:46:00.70,8:57,6.7
ŚW. ANTONI ,,POL,M40,07:46:48.25,8:58,6.7
RATOWNIK GÓRNICZY,,POL,M40,07:46:44.65,8:58,6.7
FIZO-SPORT,,POL,M30,07:48:10.20,9:00,6.7
FIZJO-SPORT ŁĘCZNA,,POL,M30,07:48:10.15,9:00,6.7
CZCICIELE BOBRZEJ NORY,,POL,M40,07:48:20.30,9:00,6.7
MADRABBIT,,POL,K30,07:47:54.90,8:59,6.7
SSP ORKA IŁAWA,,POL,K40,07:48:16.55,9:00,6.7
,,POL,K30,07:48:43.70,9:00,6.7
RADZYMIN RUN TEAM,,POL,M40,07:49:21.65,9:01,6.6
RADZYMIN RUN TEAM,,POL,K30,07:49:23.70,9:01,6.6
WARSZAWA,,POL,M30,07:49:14.10,9:01,6.6
TARNÓW,,POL,M50,07:50:28.15,9:02,6.6
12TRI.PL DRUZYNA WILKA,,POL,K20,07:51:06.50,9:03,6.6
SKĘPE,,POL,M30,07:51:21.45,9:03,6.6
KLUB TRIATHLONOWY WATER KNIGHTS ZABIERZÓW,,POL,M40,07:50:22.50,9:02,6.6
CZĘSTOCHOWA,,POL,M40,07:51:27.10,9:03,6.6
CZŁAPACZE,,POL,K50,07:51:31.10,9:04,6.6
LUBLIN,,POL,M30,07:52:17.60,9:04,6.6
KRAKÓW,,POL,M30,07:52:50.35,9:05,6.6
SILESIA RUNNERS CLUB,,POL,M30,07:52:37.20,9:05,6.6
,,POL,K30,07:53:00.40,9:05,6.6
CZOPKI KOLCZASTE,,POL,M40,07:53:00.90,9:05,6.6
LESZNO,,POL,M50,07:53:09.05,9:05,6.6
WYTRZEŹWIAŁKA,,POL,M30,07:53:17.80,9:06,6.6
WHITE RABBIT RUNNING TEAM,,POL,M40,07:53:45.30,9:06,6.6
DLAPILOTA.PL,,POL,M40,07:53:45.50,9:06,6.6
WWW.RUNSPACE.PL,,POL,M30,07:53:44.00,9:06,6.6
"JGB ""SOKÓŁ""",,POL,K40,07:54:32.70,9:07,6.6
WARSZAWA,,POL,K60,07:55:28.75,9:08,6.6
EUFORIABIEGACZA.PL,,POL,K40,07:55:14.00,9:08,6.6
EUFORIABIEGACZA.PL,,POL,M30,07:55:14.80,9:08,6.6
POZNAŃ,,POL,M40,07:55:09.90,9:08,6.6
POZNAŃ,,POL,K40,07:55:30.20,9:08,6.6
SPARTANIE DZIECIOM,,POL,K40,07:58:08.55,9:11,6.5
,,POL,K20,07:58:51.20,9:12,6.5
NKB CHYŻY NOWY TOMYŚL,,POL,M50,07:58:55.40,9:12,6.5
WEŁNICA BIEGA,,POL,K20,07:59:59.35,9:13,6.5
CHORZÓW,,POL,M40,08:00:11.50,9:14,6.5
WARSZAWA,,POL,M40,08:01:04.95,9:15,6.5
ORANGE POLSKA,,POL,M40,08:01:05.50,9:15,6.5
WARSZAWA,,POL,K40,08:01:06.70,9:15,6.5
WYSZKÓW,,POL,K40,08:00:59.50,9:15,6.5
,,POL,M40,08:00:59.65,9:15,6.5
LUBIN-START ŚCINAWA,,POL,M40,08:01:24.75,9:15,6.5
LIMANOWA,,POL,K30,08:02:55.30,9:17,6.5
PUŁAWY,,POL,M40,08:02:56.05,9:17,6.5
WWW.ADWOKATDONIEC.PL,,POL,M30,08:03:46.95,9:18,6.4
,,POL,M30,08:05:11.15,9:19,6.4
WARSZAWA,,POL,M40,08:07:07.15,9:22,6.4
WITC,,GER,M40,08:07:40.55,9:22,6.4
SZLACHETNA PACZKA WARSZAWA,,POL,M20,08:08:28.20,9:23,6.4
GRUPA BANKIETOWA BYDGOSZCZ,,POL,M50,08:07:54.70,9:22,6.4
SPARTANIE DZIECIOM ,,POL,K30,08:08:02.15,9:23,6.4
CHOTOMÓW,,POL,M40,08:09:09.55,9:24,6.4
KĘDZIERZYN-KOŹLE,,POL,K50,08:09:54.45,9:25,6.4
EŁK,,POL,M20,08:09:56.55,9:25,6.4
AM NAT KRAAKÓW,,POL,M30,08:09:22.25,9:24,6.4
ATMA ,,POL,M30,08:10:10.65,9:25,6.4
ODBIEGAMYODNORMY,,POL,M40,08:10:51.15,9:26,6.4
STAROGARD GDAŃSKI,,POL,M40,08:11:18.70,9:26,6.4
,,POL,M40,08:11:31.90,9:27,6.3
GLIWICE,,POL,K40,08:11:31.95,9:27,6.3
BRAK,,POL,K40,08:11:57.70,9:27,6.3
BYDGOSZCZ,,POL,K30,08:14:20.50,9:30,6.3
ŁAŃCUT,,POL,M30,08:14:51.25,9:30,6.3
PYSKOWICE,,POL,K40,08:17:16.05,9:33,6.3
KRAKÓW,,POL,M20,08:19:17.95,9:36,6.2
FINISZ RYMANÓW,,POL,K40,08:19:46.45,9:36,6.2
POSADA GÓRNA,,POL,M40,08:19:46.65,9:36,6.2
WARSZAWA,,POL,M30,08:21:33.45,9:38,6.2
,,,K40,08:22:11.75,9:39,6.2
DĘBOGÓRA,,POL,K40,08:21:43.05,9:38,6.2
BĘDZIN,,POL,M40,08:23:23.70,9:40,6.2
RYBNIK,,POL,K40,08:23:38.25,9:41,6.2
WARSZAWA,,POL,M50,08:23:17.70,9:40,6.2
LIMANOWA,,POL,K40,08:26:15.35,9:44,6.2
LIMANOWA,,POL,M40,08:26:15.95,9:44,6.2
,,POL,K30,08:26:24.25,9:44,6.2
KATOWICE,,POL,M50,08:27:48.15,9:45,6.1
KLUB WYSOKOGÓRSKI WARSZAWA,,POL,K30,08:28:22.15,9:46,6.1
RUN VEGAN TEAM,,POL,K30,08:28:22.05,9:46,6.1
KW WARSZAWA,,POL,K30,08:28:23.40,9:46,6.1
VISUM CLINIC TEAM,,POL,K30,08:28:28.20,9:46,6.1
WARSZAWA,,POL,M50,08:29:15.15,9:47,6.1
,,POL,K40,08:30:10.80,9:48,6.1
STARE WUJE,,POL,M40,08:30:27.60,9:49,6.1
WARSZAWA,,POL,K30,08:30:32.80,9:49,6.1
LUBLIN,,POL,K40,08:32:06.95,9:50,6.1
WARSZAWA,,POL,K40,08:32:18.80,9:51,6.1
LUBLA,,POL,M20,08:32:34.05,9:51,6.1
,,POL,K30,08:33:04.80,9:52,6.1
,,POL,M30,08:33:05.55,9:52,6.1
PŁOCK BIEGA NO AGE LIMIT,,POL,K30,08:33:39.30,9:52,6.1
PŁOCK BIEGA NO AGE LIMIT,,POL,M50,08:33:39.35,9:52,6.1
BIEGAMY Z OCHOTĄ,,POL,M50,08:34:28.85,9:53,6.1
ŁÓDŹ,,POL,M60,08:35:08.55,9:54,6.1
NIGHT RUNNERS GLIWICE,,POL,K40,08:37:29.25,9:57,6
KALISZ,,POL,M40,08:37:59.65,9:57,6
LESZNO,,POL,M30,08:38:25.90,9:58,6
MIKI TEAM,,POL,K30,08:39:25.70,9:59,6
,,POL,K30,08:40:57.20,10:01,6
TRIWAWA,,POL,M30,08:40:58.30,10:01,6
BIEGAM NA TARCHOMINIE,,POL,M30,08:45:43.65,10:06,5.9
DYNÓW,,POL,M20,08:47:00.95,10:08,5.9
SMASHING PĄPKINS,,POL,M20,08:46:34.05,10:07,5.9
POZNAŃ,,POL,M30,08:47:15.80,10:08,5.9
WARSZAWA,,POL,M30,08:49:16.40,10:10,5.9
,,POL,M30,08:50:24.65,10:12,5.9
GRÓJEC,,POL,K30,08:50:24.85,10:12,5.9
,,POL,K20,08:50:51.80,10:12,5.9
NIGHT RUNNERS GLIWICE,,POL,M30,08:51:00.20,10:12,5.9
OTK RZEŹNIK,,POL,M40,08:50:59.05,10:12,5.9
ALBATROSY,,POL,K40,08:54:10.35,10:16,5.8
KALIŃSKA TEAM-WARSZAWA,,POL,M40,08:55:08.15,10:17,5.8
,,POL,M30,08:56:13.15,10:18,5.8
KRAKÓW,,POL,K30,08:56:28.90,10:19,5.8
SPARTANIE DZIECIOM,,POL,M50,08:56:31.20,10:19,5.8
FINISZ RYMANÓW,,POL,M20,08:57:30.40,10:20,5.8
BARCZEWKO,,,M40,09:00:03.65,10:23,5.8
WARSZAWA,,POL,K30,09:18:44.90,10:44,5.6
SPARTANIE DZIECIOM,,POL,M50,09:21:08.35,10:47,5.6
EL AKTYWNI,,POL,M60,09:22:47.35,10:49,5.5
SPARTANIE DZIECIOM,,POL,M30,09:42:08.20,11:11,5.4
