MSC,NR SZTAFETY,team,Kategoria dodatkowa,czas_netto,plec
264,482,MAZEL,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:40:48,M
265,193,POWERSPORT,,03:41:00,M
266,346,RZECZPOSPOLITA,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:41:06,M
267,556,REEBOK RUNNING TEAM,,03:41:10,M
268,419,KONDYCJA MASTERS,,03:41:12,M
269,215,CASTORAMA VI,,03:41:18,M
270,633,BGK RUN 3,BANKÓW,03:41:21,M
271,488,AWBUD 1,,03:41:36,M
272,196,OPEN FINANCE RUNNING TEAM,,03:41:43,M
273,617,THEURBANBEARD.COM TEAM,,03:41:43,M
274,212,CASTORAMA III,,03:41:44,M
275,217,COFACE POLAND 3,FIRM UBEZPIECZENIOWYCH,03:41:49,M
276,344,HP RUN 3,,03:41:53,M
277,614,TU INTER POLSKA TEAM 1,FIRM UBEZPIECZENIOWYCH,03:41:57,M
278,575,MERITUM BANK I PARTNERZY 2,BANKÓW,03:41:59,M
279,643,SPEEDEXO,,03:42:00,M
280,472,O.M.C. GIGANCI,,03:42:02,M
281,158,PĘDZĄCE ŻÓŁWIE,,03:42:04,M
282,649,BEZLITOŚNI,,03:42:08,M
283,332,RBS3,BANKÓW,03:42:09,M
284,125,SAP RUNS BETTER,,03:42:11,M
285,154,PEKAOEKIPA,BANKÓW,03:42:13,M
286,114,ACCELERATE RANNE GAZELE,,03:42:20,M
287,111,ACCELERATE PRICELESS TEAM,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:42:21,M
288,440,SODEXO RUN ALFA,,03:42:23,M
289,551,AVIVA RUNNING TEAM 3,FIRM UBEZPIECZENIOWYCH,03:42:30,M
290,453,FAMILIA,,03:42:43,M
291,537,PASSUS SPORT TEAM,,03:42:44,M
292,175,SUPERSONIC STEAMROLLERS,,03:42:55,M
293,549,BSSG1,,03:42:55,M
294,282,SANDOZ BE HEALTHY 3,,03:43:10,M
295,323,BAYER LIFE TEAM II,,03:43:27,M
296,577,MERITUM BANK I PARTNERZY 3,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:43:58,M
297,444,HENKEL RUNNIG TEAM 1,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:44:12,M
298,435,NOVARTIS 1,,03:44:18,M
299,174,GSK SZYBKA,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:44:28,M
300,126,GITARA - UMFC,,03:44:33,M
301,648,DELOITTE ADVENTURE TEAM - ENERGY,,03:44:40,M
302,150,GTS 3,,03:44:43,M
303,229,LIBERTY DIRECT PRO,FIRM UBEZPIECZENIOWYCH,03:44:56,M
304,224,BIEGNIEMY Z FUKSEM,,03:44:56,M
305,233,POWER_OF_TWO,,03:45:03,M
306,425,UNIQA RUNNERS 2,FIRM UBEZPIECZENIOWYCH,03:45:04,M
307,165,POMARAŃCZOWY PĘD,,03:45:06,M
308,476,DOM KREDYTOWY NOTUS RUNNING TEAM 2,BANKÓW,03:45:10,M
309,161,SEQUENCE,,03:45:12,M
310,625,PRZEBIEGLI MP,,03:45:13,M
311,555,ADIDAS RUNNING TEAM 2,,03:45:15,M
312,501,PWC WAWA ,,03:45:16,M
313,437,NOVARTIS 3,,03:45:19,M
314,489,AWBUD 2,,03:45:23,M
315,423,CYRUS RUNNING TEAM,,03:45:24,M
316,528,GENERALI RUNNING TEAM 4,FIRM UBEZPIECZENIOWYCH,03:45:28,M
317,464,COFACE POLAND 4,FIRM UBEZPIECZENIOWYCH,03:45:33,M
318,403,MEPP EUROPE RUNNING TEAM,,03:45:42,M
319,203,NASK,,03:46:07,M
320,416,GRUPA MALBORK ,,03:46:22,M
321,514,RAIFFEISEN POLBANK RAZEM!,BANKÓW,03:46:39,M
322,144,OBI-BOKI RUNNING CREW II,,03:46:42,M
323,151,GTS 4,,03:46:47,M
324,313,BAKALLAND,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:46:51,M
325,436,NOVARTIS 2,,03:47:25,M
326,411,SINIAT TEAM,,03:47:31,M
327,445,HENKEL RUNNIG TEAM 2,,03:47:40,M
328,641,CARGILL 2,,03:47:44,M
329,142,GOOGLE ENDURANCE TEAM 2,,03:48:01,M
330,582,GOTHAER TEAM 2,FIRM UBEZPIECZENIOWYCH,03:48:12,M
331,342,"""TOMEK I DZIEWCZYNY PKO""",MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:48:16,M
332,474,IPOPEMA MARATHON TEAM II,BANKÓW,03:48:30,M
333,237,DYNAMO KOŁOMYJA,,03:48:33,M
334,172,CAELUM TEAM,,03:48:49,M
335,517,RAIFFEISEN POLBANK HERBATNIKI,BANKÓW,03:48:52,M
336,596,RUNFORMERS,,03:49:00,M
337,564,BANK BPH - PO PROSTU FAIR 1,BANKÓW,03:49:05,M
338,220,SCOTT TIGER S.A.,,03:49:10,M
339,252,SAN FUN TEAM,,03:49:28,M
340,269,SCHNEIDER ELECTRIC - KORZYSTAJ W PEŁNI ZE SWOJEJ ENERGII -1,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:49:37,M
341,635,PFIZER CENTRUM,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:49:53,M
342,160,RAISIO,,03:49:55,M
343,486,PAREXEL III,,03:50:04,M
344,542,SPAMMERS RUNNERS,,03:50:10,M
345,180,AMADEUSZ,,03:50:11,M
346,601,SCHNEIDER ELECTRIC - KORZYSTAJ W PEŁNI ZE SWOJEJ ENERGII -3,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:50:20,M
347,134,BAUER RUNNING TEAM 2.0,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:50:53,M
