MSC,NR SZTAFETY,team,Kategoria dodatkowa,czas_netto,plec
426,325,NOVO NORDISK 5,,04:04:00,M
427,616,NASK 2,,04:04:23,M
428,606,COLLEGE OF EUROPE NATOLIN 3,,04:04:27,M
429,334,RBS5,BANKÓW,04:04:46,M
430,552,BSSG2,,04:04:55,M
431,492,KOCHANI BIEGNĄ,,04:05:25,M
432,270,SCHNEIDER ELECTRIC - KORZYSTAJ W PEŁNI ZE SWOJEJ ENERGII -2,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,04:05:45,M
433,118,ZALEWSCY,,04:05:48,M
434,267,NOVO NORDISK 4,,04:06:05,M
435,317,POWERADE RUNNING TEAM II,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,04:06:14,M
436,520,JESTEM TU PRZEZ PRZYPADEK,,04:06:21,M
437,484,DOW RUNNERS,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,04:06:38,M
438,438,NOVARTIS 4,,04:06:52,M
439,431,BIEGIEM NA MELANŻ,FIRM UBEZPIECZENIOWYCH,04:07:09,M
440,632,KRUSZWICA - BUNGE 4,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,04:07:34,M
441,524,RAIFFEISEN POLBANK R-JOGGERS,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,04:07:52,M
442,108,ACCELERATE FUSION 2,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,04:10:00,M
443,510,RAIFFEISEN POLBANK GO GIRLS !,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,04:10:06,M
444,105,ACCENTURE WORKPLACE TEAM,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,04:10:59,M
445,240,MAMBA,,04:11:03,M
446,320,SYSKONF,,04:12:01,M
447,218,SALSA,,04:12:08,M
448,504,BOSSA.PL - BOSSKIE,,04:12:22,M
449,198,THE SLOW MO TEAM,,04:12:58,M
450,621,ONE STEP AHEAD TEAM 1,,04:13:51,M
451,468,PAREXEL II ,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,04:14:27,M
452,607,COLLEGE OF EUROPE NATOLIN 4,,04:16:34,M
453,135,YOKOGAWA JOGGERS,,04:17:03,M
454,194,NARODOWE CENTRUM BADAŃ I ROZWOJU  II,,04:17:19,M
455,558,WSZYSTKO W SWOIM TEMPIE,,04:18:50,M
456,495,HIAB 2,,04:20:24,M
457,265,NOVO NORDISK 2,,04:22:04,M
458,462,PRZEBIEGLI,,04:23:27,M
459,602,21 SLO GROTOWSKI 2@,,04:24:09,M
460,603,21 SLO GROTOWSKI ,,04:28:15,M
461,622,ONE STEP AHEAD TEAM 2,,04:43:59,M
